time,FL_foot_torque,FR_foot_torque,RL_foot_torque,RR_foot_torque,FL_leg_torque,FR_leg_torque,RL_leg_torque,RR_leg_torque,FL_shoulder_torque,FR_shoulder_torque,RL_shoulder_torque,RR_shoulder_torque
1.9260000000000015,0.6203913915265602,0.6225381387901123,0.7490715122858944,0.7528937726928291,-0.06025659993314747,-0.06283995241302165,-0.08324472295313967,-0.0798416073262942,-0.39709276349220946,0.3956722876916215,-0.6069953687827974,0.6065151380868615
1.9280000000000015,0.6204961076734463,0.6226010147984269,0.7485262129181685,0.7523375637508671,-0.06023930089731522,-0.0628197864165223,-0.0837713454395228,-0.08040220538869036,-0.3973016461379163,0.39589342237401476,-0.6071891681181488,0.6066773859396359
1.9300000000000015,0.6206112773403305,0.6226729509885729,0.747980477311792,0.7517805803610145,-0.060226327198900975,-0.0628049572801217,-0.08429400362923545,-0.08096018345878875,-0.3975095227558491,0.39611537235419203,-0.6073820789149534,0.6068382622248943
1.9320000000000015,0.6207365770306552,0.6227537551739175,0.7474346030855727,0.7512231509237459,-0.06021732943077751,-0.06279504610893483,-0.08481273777457332,-0.08151546966727352,-0.39771644593976435,0.39633810006201176,-0.6075740525016741,0.6069978321295354
1.9340000000000015,0.6208716572712305,0.6228432051540338,0.7468888790269048,0.7506655927727905,-0.060211960231228545,-0.06278963682934702,-0.08532759737313356,-0.08206800251101143,-0.3979224680354918,0.39656156538698967,-0.6077650438901939,0.60715615794184
1.9360000000000015,0.6210161459484738,0.6229410523343617,0.7463435851123386,0.7501082123426173,-0.060209874609917335,-0.0627883167891845,-0.08583863974936534,-0.08261772970757875,-0.39812764094402153,0.39678572594384043,-0.6079550116528334,0.6073132991377052
1.9380000000000015,0.6211696515192173,0.6230470251619309,0.745798992551542,0.7495513053582741,-0.060210730276203606,-0.06279067732654653,-0.08634592871590385,-0.08316460711266771,-0.3983320159391959,0.39701053733336417,-0.6081439177979441,0.6074693124690501
1.9400000000000015,0.6213317660908402,0.623160832379746,0.7452553638521948,0.7489951570439395,-0.0602141879689313,-0.06279631430831145,-0.08684953331617251,-0.08370859770194272,-0.3985356434996956,0.3972359533974361,-0.6083317276449427,0.6076242520535601
1.9420000000000015,0.6215020683658707,0.6232821661020722,0.7447129529036545,0.7484400423468998,-0.0602199117866391,-0.06280482863943604,-0.08734952664909912,-0.08424967061807109,-0.3987385731549758,0.3974619264670383,-0.6085184096995302,0.6077781694650307
1.9440000000000015,0.6216801264473304,0.6234107047133222,0.7441720050770542,0.7478862261738968,-0.060227569517131485,-0.06281582674389696,-0.08784598477613059,-0.08478780028332622,-0.3989408533447809,0.39768840760243274,-0.6087039355297421,0.607931113823678
